[0.10477307 0.30977634 0.5854506 ],[0.00335172 0.00348181 0.10846925],[0.00948011 0.00984804 0.30679737]
[0.07842994 0.14117584 0.7803942 ],[0.0735929  0.00035941 0.00119512],[0.20815215 0.00101658 0.00338031]
[0.01002799 0.14982556 0.8401465 ],[6.93113495e-02 6.62786369e-06 2.27678995e-05],[1.96042101e-01 1.87464294e-05 6.43973446e-05]
[0.12393408 0.00783619 0.8682297 ],[5.65392629e-02 6.33187066e-06 9.94792492e-07],[1.59917185e-01 1.79092347e-05 2.81369807e-06]
[0.08265769 0.12264542 0.7946969 ],[7.05985420e-02 4.94427857e-06 1.42317365e-05],[1.99682831e-01 1.39845316e-05 4.02534296e-05]
[0.2030066  0.01111513 0.78587824],[0.00952725 0.01826826 0.00020732],[0.02694712 0.05167044 0.0005864 ]
[0.01014845 0.03614516 0.9537063 ],[6.02242193e-02 3.69964335e-07 9.99693335e-07],[1.70339815e-01 1.04641716e-06 2.82755975e-06]
[0.10486054 0.054557   0.8405824 ],[6.83421953e-02 1.66659630e-06 3.90976556e-06],[1.93300919e-01 4.71384617e-06 1.10584869e-05]
[0.04003099 0.30230337 0.6576656 ],[0.00362241 0.00223497 0.09376449],[0.01024573 0.00632144 0.26520601]
[0.08635926 0.26785436 0.64578635],[0.00383496 0.00216426 0.09069039],[0.0108469  0.00612145 0.25651117]
[0.01106279 0.01044684 0.9784904 ],[6.12894507e-02 4.05174695e-07 2.37008075e-07],[1.73352745e-01 1.14600710e-06 6.70360069e-07]
[0.04779386 0.01622452 0.93598163],[7.04509163e-02 1.17114801e-06 8.85087428e-07],[1.99265283e-01 3.31250681e-06 2.50340529e-06]
[0.01931472 0.48161924 0.49906597],[0.00440511 0.00054704 0.04968601],[0.01245954 0.00154727 0.14053326]
[0.01089027 0.0239841  0.9651257 ],[6.72968940e-02 6.71919084e-07 5.09130665e-07],[1.90344360e-01 1.90047416e-06 1.44003898e-06]
[0.01152752 0.02424589 0.96422666],[6.34783773e-02 6.02143058e-07 3.51503994e-07],[1.79543964e-01 1.70311776e-06 9.94203432e-07]
[0.46961123 0.02052531 0.50986344],[0.00207795 0.09741632 0.00139576],[0.00587732 0.27553496 0.00394779]
[0.00958033 0.01275164 0.97766805],[6.02100753e-02 1.09089387e-07 1.10341179e-07],[1.70299810e-01 3.08551382e-07 3.12091983e-07]
[0.01894966 0.01746916 0.96358114],[6.54302440e-02 3.20251063e-07 3.74545309e-07],[1.85064677e-01 9.05806793e-07 1.05937411e-06]
[0.01836379 0.01248467 0.9691515 ],[6.07488993e-02 1.34920616e-07 1.54333230e-07],[1.71823835e-01 3.81613130e-07 4.36520295e-07]
[0.04230107 0.02009336 0.93760556],[6.16035165e-02 3.63446778e-07 2.29707212e-07],[1.74241057e-01 1.02798273e-06 6.49710110e-07]
[0.01501499 0.00923072 0.97575426],[6.17300600e-02 1.91435421e-07 1.61791147e-07],[1.74598976e-01 5.41461137e-07 4.57614470e-07]
[0.01159101 0.49036536 0.49804366],[2.94942686e-02 3.58009434e-05 1.36596590e-03],[0.08342239 0.00010126 0.00386354]
[0.6081977  0.01179461 0.38000774],[0.00242818 0.0844025  0.00106582],[0.00686794 0.23872633 0.00301459]
[0.02237188 0.21161711 0.766011  ],[5.97096508e-02 5.39962831e-06 3.67463511e-05],[1.68884396e-01 1.52724552e-05 1.03934376e-04]
[0.16698273 0.1147933  0.718224  ],[0.00150556 0.07381832 0.00454019],[0.00425837 0.20878972 0.0128416 ]
[0.06359992 0.14332712 0.793073  ],[4.97104724e-02 7.40768716e-05 8.23747980e-04],[0.14060245 0.00020952 0.00232991]
[0.00752805 0.00158966 0.9908823 ],[5.90721512e-02 9.89947561e-08 1.08493507e-07],[1.67081275e-01 2.79999453e-07 3.06865978e-07]
[0.24305722 0.01750422 0.73943853],[3.73634258e-02 7.53133577e-04 3.05923646e-05],[1.05679727e-01 2.13018344e-03 8.65282739e-05]
[0.01005037 0.03754084 0.9524089 ],[6.17260456e-02 3.53028420e-07 7.75989696e-07],[1.74587622e-01 9.98515159e-07 2.19483030e-06]
[0.07684033 0.05653185 0.86662793],[6.40973273e-02 7.88664749e-06 4.06963802e-05],[1.81294619e-01 2.23068077e-05 1.15106746e-04]
[0.20219177 0.02847056 0.7693376 ],[3.99391992e-02 5.64768361e-04 2.57217605e-05],[1.12965114e-01 1.59740615e-03 7.27521250e-05]
[0.19845334 0.02681831 0.7747284 ],[0.00211486 0.10058376 0.00157914],[0.00598172 0.28449382 0.00446649]
[0.02750308 0.09468195 0.877815  ],[7.93037706e-02 3.96896124e-06 3.53575566e-06],[2.24304936e-01 1.12259176e-05 1.00006272e-05]
[0.8658871  0.00714847 0.12696433],[1.66406432e-06 1.76598667e-05 5.21610172e-02],[4.70668465e-06 4.99496461e-05 1.47533636e-01]
[0.01033396 0.61956537 0.3701007 ],[0.00110218 0.00276284 0.08126588],[0.00311745 0.0078145  0.22985461]
[0.02963169 0.01358072 0.9567875 ],[6.65263598e-02 4.85321957e-07 6.86197489e-07],[1.88164961e-01 1.37269779e-06 1.94085959e-06]
[0.03954757 0.4016062  0.55884624],[0.00727614 0.0004894  0.03464734],[0.02058003 0.00138424 0.09799748]
[0.01361062 0.7191353  0.26725408],[0.0007284  0.0058365  0.04786822],[0.00206023 0.01650811 0.13539177]
